,SAMPLE_TIMESTAMP
6420,2021_05_01 09_54_47
6480,2021_05_01 09_55_47
6540,2021_05_01 09_56_47
6600,2021_05_01 09_57_47
6720,2021_05_01 09_59_47
6780,2021_05_01 10_00_47
6900,2021_05_01 10_02_47
6960,2021_05_01 10_04_16
7020,2021_05_01 10_05_16
7080,2021_05_01 10_06_16
7140,2021_05_01 10_07_16
7200,2021_05_01 10_08_16
7260,2021_05_01 10_09_16
7320,2021_05_01 10_10_16
7380,2021_05_01 10_11_45
7440,2021_05_01 10_12_45
7500,2021_05_01 10_13_45
7620,2021_05_01 10_15_45
7680,2021_05_01 10_16_45
7740,2021_05_01 10_18_14
7800,2021_05_01 10_19_14
7860,2021_05_01 10_20_14
7920,2021_05_01 10_21_14
7980,2021_05_01 10_22_14
8040,2021_05_01 10_23_14
8100,2021_05_01 10_24_14
8160,2021_05_01 10_25_43
8220,2021_05_01 10_26_43
8280,2021_05_01 10_27_43
8340,2021_05_01 10_28_43
8460,2021_05_01 10_30_43
8520,2021_05_01 10_31_43
8580,2021_05_01 10_33_12
8640,2021_05_01 10_34_12
8700,2021_05_01 10_35_12
8760,2021_05_01 10_36_12
8820,2021_05_01 10_37_12
8880,2021_05_01 10_39_10
8940,2021_05_01 10_40_10
9000,2021_05_01 10_41_10
9060,2021_05_01 10_42_10
9120,2021_05_01 10_43_39
9240,2021_05_01 10_45_39
9300,2021_05_01 10_46_39
9360,2021_05_01 10_47_39
9420,2021_05_01 10_48_39
9540,2021_05_01 10_50_39
9600,2021_05_01 10_51_39
9660,2021_05_01 10_52_39
9720,2021_05_01 10_54_08
9780,2021_05_01 10_55_08
9840,2021_05_01 10_56_08
9900,2021_05_01 10_57_08
9960,2021_05_01 10_58_08
10020,2021_05_01 10_59_08
10080,2021_05_01 11_00_08
10200,2021_05_01 11_02_08
10260,2021_05_01 11_03_08
10320,2021_05_01 11_04_08
10380,2021_05_01 11_05_08
10440,2021_05_01 11_06_08
10500,2021_05_01 11_07_08
10560,2021_05_01 11_08_37
10680,2021_05_01 11_10_37
10740,2021_05_01 11_11_37
10800,2021_05_01 11_12_37
10860,2021_05_01 11_13_37
10920,2021_05_01 11_14_37
10980,2021_05_01 11_15_37
11040,2021_05_01 11_16_37
11100,2021_05_01 11_17_37
11160,2021_05_01 11_18_37
11220,2021_05_01 11_19_37
11280,2021_05_01 11_20_37
11340,2021_05_01 11_21_37
11460,2021_05_01 11_25_06
11520,2021_05_01 11_26_06
11580,2021_05_01 11_27_35
11640,2021_05_01 11_28_35
11700,2021_05_01 11_29_35
11760,2021_05_01 11_30_35
11820,2021_05_01 11_31_35
11880,2021_05_01 11_33_33
11940,2021_05_01 11_34_33
12000,2021_05_01 11_35_33
12060,2021_05_01 11_37_02
12120,2021_05_01 11_38_31
12180,2021_05_01 11_39_31
12240,2021_05_01 11_41_00
12300,2021_05_01 11_42_00
12360,2021_05_01 11_43_00
12420,2021_05_01 11_44_00
12480,2021_05_01 11_45_00
12540,2021_05_01 11_46_00
12600,2021_05_01 11_47_00
12660,2021_05_01 11_48_00
12720,2021_05_01 11_49_00
12780,2021_05_01 11_50_00
12840,2021_05_01 11_51_58
12960,2021_05_01 11_53_58
13020,2021_05_01 11_54_58
13080,2021_05_01 11_55_58
13140,2021_05_01 11_56_58
13200,2021_05_01 11_57_58
13260,2021_05_01 11_58_58
13320,2021_05_01 11_59_58
13380,2021_05_01 12_00_58
13440,2021_05_01 12_01_58
13500,2021_05_01 12_02_58
13560,2021_05_01 12_03_58
13620,2021_05_01 12_04_58
13680,2021_05_01 12_05_58
13740,2021_05_01 12_07_27
13800,2021_05_01 12_08_56
13860,2021_05_01 12_09_56
13920,2021_05_01 12_10_56
13980,2021_05_01 12_11_56
14040,2021_05_01 12_13_25
14100,2021_05_01 12_14_25
14160,2021_05_01 12_15_25
14220,2021_05_01 12_16_25
14280,2021_05_01 12_17_54
14340,2021_05_01 12_18_54
14400,2021_05_01 12_19_54
14460,2021_05_01 12_20_54
14520,2021_05_01 12_21_54
14580,2021_05_01 12_22_54
14640,2021_05_01 12_23_54
14700,2021_05_01 12_24_54
14820,2021_05_01 12_26_54
14880,2021_05_01 12_27_54
14940,2021_05_01 12_28_54
15000,2021_05_01 12_29_54
15060,2021_05_01 12_30_54
15120,2021_05_01 12_31_54
15180,2021_05_01 12_32_54
15240,2021_05_01 12_33_54
15300,2021_05_01 12_34_54
15360,2021_05_01 12_35_54
15420,2021_05_01 12_36_54
15480,2021_05_01 12_37_54
15540,2021_05_01 12_38_54
15600,2021_05_01 12_39_54
15660,2021_05_01 12_40_54
15720,2021_05_01 12_42_23
15780,2021_05_01 12_43_23
15840,2021_05_01 12_44_23
15900,2021_05_01 12_45_23
15960,2021_05_01 12_46_23
16020,2021_05_01 12_47_23
16080,2021_05_01 12_48_23
16140,2021_05_01 12_49_23
16200,2021_05_01 12_50_23
16260,2021_05_01 12_51_23
16320,2021_05_01 12_52_23
16380,2021_05_01 12_53_23
16440,2021_05_01 12_54_23
16560,2021_05_01 12_56_23
16620,2021_05_01 12_57_23
16680,2021_05_01 12_58_23
16740,2021_05_01 12_59_23
16800,2021_05_01 13_00_23
16860,2021_05_01 13_01_23
16920,2021_05_01 13_02_23
16980,2021_05_01 13_03_23
17040,2021_05_01 13_04_23
17100,2021_05_01 13_05_23
17160,2021_05_01 13_06_23
17220,2021_05_01 13_07_23
17280,2021_05_01 13_08_23
17340,2021_05_01 13_09_23
17400,2021_05_01 13_10_52
17460,2021_05_01 13_11_52
17520,2021_05_01 13_12_52
17580,2021_05_01 13_13_52
17640,2021_05_01 13_14_52
17700,2021_05_01 13_15_52
17760,2021_05_01 13_16_52
17820,2021_05_01 13_17_52
17880,2021_05_01 13_18_52
17940,2021_05_01 13_19_52
18000,2021_05_01 13_20_52
18060,2021_05_01 13_21_52
18180,2021_05_01 13_23_52
18240,2021_05_01 13_24_52
18360,2021_05_01 13_26_52
18420,2021_05_01 13_27_52
18480,2021_05_01 13_28_52
18540,2021_05_01 13_30_21
18600,2021_05_01 13_31_21
18660,2021_05_01 13_32_21
18720,2021_05_01 13_33_21
18780,2021_05_01 13_34_21
18840,2021_05_01 13_35_21
18900,2021_05_01 13_36_21
18960,2021_05_01 13_37_50
19080,2021_05_01 13_39_50
19140,2021_05_01 13_40_50
19200,2021_05_01 13_41_50
19260,2021_05_01 13_42_50
19320,2021_05_01 13_43_50
19380,2021_05_01 13_44_50
19440,2021_05_01 13_45_50
19500,2021_05_01 13_46_50
19560,2021_05_01 13_47_50
19620,2021_05_01 13_48_50
19680,2021_05_01 13_49_50
19800,2021_05_01 13_51_50
19860,2021_05_01 13_52_50
19980,2021_05_01 13_54_50
20040,2021_05_01 13_55_50
20100,2021_05_01 13_56_50
20160,2021_05_01 13_57_50
20220,2021_05_01 13_58_50
20280,2021_05_01 13_59_50
20340,2021_05_01 14_00_50
20400,2021_05_01 14_01_50
20460,2021_05_01 14_02_50
20520,2021_05_01 14_05_48
20580,2021_05_01 14_06_48
20640,2021_05_01 14_07_48
20700,2021_05_01 14_08_48
20760,2021_05_01 14_10_17
20820,2021_05_01 14_11_46
20880,2021_05_01 14_12_46
20940,2021_05_01 14_13_46
21000,2021_05_01 14_14_46
21060,2021_05_01 14_15_46
21120,2021_05_01 14_16_46
21180,2021_05_01 14_17_46
21240,2021_05_01 14_18_46
21300,2021_05_01 14_19_46
21360,2021_05_01 14_20_46
21420,2021_05_01 14_21_46
21480,2021_05_01 14_22_46
21540,2021_05_01 14_23_46
21600,2021_05_01 14_24_46
21660,2021_05_01 14_25_46
21720,2021_05_01 14_26_46
21780,2021_05_01 14_27_46
21840,2021_05_01 14_28_46
21900,2021_05_01 14_29_46
21960,2021_05_01 14_30_46
22020,2021_05_01 14_31_46
22080,2021_05_01 14_32_46
22140,2021_05_01 14_33_46
22260,2021_05_01 14_35_46
22320,2021_05_01 14_37_15
22380,2021_05_01 14_38_44
22440,2021_05_01 14_39_44
22500,2021_05_01 14_40_44
22560,2021_05_01 14_41_44
22620,2021_05_01 14_42_44
22680,2021_05_01 14_43_44
22740,2021_05_01 14_45_42
22800,2021_05_01 14_46_42
22860,2021_05_01 14_48_11
22920,2021_05_01 14_49_11
22980,2021_05_01 14_50_11
23040,2021_05_01 14_51_11
23100,2021_05_01 14_52_11
23160,2021_05_01 14_53_40
23220,2021_05_01 14_54_40
23280,2021_05_01 14_55_40
23340,2021_05_01 14_56_40
23400,2021_05_01 14_57_40
23460,2021_05_01 14_58_40
23520,2021_05_01 14_59_40
23580,2021_05_01 15_00_40
23640,2021_05_01 15_01_40
23700,2021_05_01 15_02_40
23760,2021_05_01 15_03_40
23820,2021_05_01 15_04_40
23880,2021_05_01 15_05_40
23940,2021_05_01 15_06_40
24000,2021_05_01 15_08_09
24060,2021_05_01 15_09_38
24180,2021_05_01 15_12_07
24240,2021_05_01 15_13_07
24300,2021_05_01 15_14_07
24360,2021_05_01 15_15_07
24420,2021_05_01 15_16_07
24480,2021_05_01 15_17_07
24540,2021_05_01 15_18_07
24600,2021_05_01 15_19_07
24660,2021_05_01 15_20_07
24720,2021_05_01 15_21_07
24780,2021_05_01 15_22_07
24840,2021_05_01 15_23_07
24900,2021_05_01 15_24_07
24960,2021_05_01 15_25_07
25020,2021_05_01 15_26_07
25080,2021_05_01 15_27_07
25140,2021_05_01 15_28_07
25200,2021_05_01 15_29_07
25260,2021_05_01 15_30_07
25320,2021_05_01 15_31_07
25380,2021_05_01 15_32_07
25440,2021_05_01 15_33_07
25500,2021_05_01 15_34_07
25560,2021_05_01 15_35_07
25620,2021_05_01 15_36_07
25680,2021_05_01 15_37_07
25740,2021_05_01 15_38_07
25800,2021_05_01 15_39_07
25860,2021_05_01 15_40_07
25920,2021_05_01 15_41_07
25980,2021_05_01 15_42_07
26040,2021_05_01 15_43_07
26100,2021_05_01 15_44_07
26160,2021_05_01 15_45_36
26220,2021_05_01 15_46_36
26280,2021_05_01 15_48_05
26340,2021_05_01 15_49_05
26400,2021_05_01 15_50_05
26460,2021_05_01 15_51_05
26520,2021_05_01 15_52_05
26580,2021_05_01 15_53_05
26640,2021_05_01 15_54_05
26700,2021_05_01 15_55_05
26760,2021_05_01 15_56_05
26820,2021_05_01 15_57_05
26880,2021_05_01 15_58_05
26940,2021_05_01 15_59_05
27000,2021_05_01 16_00_05
27060,2021_05_01 16_01_05
27120,2021_05_01 16_02_05
27180,2021_05_01 16_03_05
27240,2021_05_01 16_04_05
27300,2021_05_01 16_05_05
27360,2021_05_01 16_07_03
27420,2021_05_01 16_08_03
27480,2021_05_01 16_09_03
27540,2021_05_01 16_10_03
27600,2021_05_01 16_11_03
27660,2021_05_01 16_12_32
27780,2021_05_01 16_14_32
27840,2021_05_01 16_15_32
27900,2021_05_01 16_16_32
27960,2021_05_01 16_17_32
28020,2021_05_01 16_18_32
28080,2021_05_01 16_19_32
28140,2021_05_01 16_20_32
28200,2021_05_01 16_21_32
28260,2021_05_01 16_22_32
28320,2021_05_01 16_23_32
28380,2021_05_01 16_24_32
28440,2021_05_01 16_25_32
28500,2021_05_01 16_26_32
28560,2021_05_01 16_27_32
28620,2021_05_01 16_28_32
28680,2021_05_01 16_29_32
28740,2021_05_01 16_30_32
28800,2021_05_01 16_31_32
28860,2021_05_01 16_32_32
28920,2021_05_01 16_33_32
28980,2021_05_01 16_34_32
29040,2021_05_01 16_35_32
29100,2021_05_01 16_36_32
29160,2021_05_01 16_37_32
29280,2021_05_01 16_39_32
29340,2021_05_01 16_40_32
29400,2021_05_01 16_41_32
29460,2021_05_01 16_42_32
29520,2021_05_01 16_43_32
29580,2021_05_01 16_45_01
29640,2021_05_01 16_46_01
29700,2021_05_01 16_47_01
29760,2021_05_01 16_48_01
29820,2021_05_01 16_49_01
29880,2021_05_01 16_50_01
29940,2021_05_01 16_51_01
30000,2021_05_01 16_52_01
30060,2021_05_01 16_53_01
30180,2021_05_01 16_55_30
30240,2021_05_01 16_56_30
30300,2021_05_01 16_57_30
30360,2021_05_01 16_58_30
30420,2021_05_01 16_59_30
30480,2021_05_01 17_00_30
30540,2021_05_01 17_01_30
30600,2021_05_01 17_02_59
30660,2021_05_01 17_03_59
30720,2021_05_01 17_04_59
30780,2021_05_01 17_05_59
30840,2021_05_01 17_06_59
30900,2021_05_01 17_07_59
31020,2021_05_01 17_09_59
31080,2021_05_01 17_11_28
31140,2021_05_01 17_12_28
31200,2021_05_01 17_13_28
31260,2021_05_01 17_14_28
31320,2021_05_01 17_15_28
31380,2021_05_01 17_16_28
31440,2021_05_01 17_17_28
31500,2021_05_01 17_18_28
31620,2021_05_01 17_20_57
31680,2021_05_01 17_21_57
31740,2021_05_01 17_22_57
31800,2021_05_01 17_23_57
31860,2021_05_01 17_25_26
31920,2021_05_01 17_26_26
31980,2021_05_01 17_27_55
32040,2021_05_01 17_28_55
32100,2021_05_01 17_29_55
32160,2021_05_01 17_30_55
32220,2021_05_01 17_31_55
32280,2021_05_01 17_32_55
32340,2021_05_01 17_33_55
32400,2021_05_01 17_34_55
32460,2021_05_01 17_35_55
32520,2021_05_01 17_36_55
32580,2021_05_01 17_38_24
32640,2021_05_01 17_39_24
32700,2021_05_01 17_40_24
32760,2021_05_01 17_41_24
32820,2021_05_01 17_42_24
32880,2021_05_01 17_43_53
32940,2021_05_01 17_45_22
33000,2021_05_01 17_46_22
33060,2021_05_01 17_47_22
33120,2021_05_01 17_48_22
33180,2021_05_01 17_49_22
33240,2021_05_01 17_50_22
33300,2021_05_01 17_51_22
33360,2021_05_01 17_52_22
33420,2021_05_01 17_53_51
33480,2021_05_01 17_54_51
33540,2021_05_01 17_55_51
33600,2021_05_01 17_56_51
33660,2021_05_01 17_58_50
33720,2021_05_01 17_59_50
33780,2021_05_01 18_00_50
33840,2021_05_01 18_01_50
33900,2021_05_01 18_02_50
33960,2021_05_01 18_03_50
34020,2021_05_01 18_04_50
34080,2021_05_01 18_05_50
34140,2021_05_01 18_06_50
34200,2021_05_01 18_07_50
34260,2021_05_01 18_08_50
34320,2021_05_01 18_10_19
34380,2021_05_01 18_11_19
34440,2021_05_01 18_12_19
34500,2021_05_01 18_13_19
34560,2021_05_01 18_14_19
34620,2021_05_01 18_15_19
34680,2021_05_01 18_16_48
34740,2021_05_01 18_17_48
34800,2021_05_01 18_18_48
34860,2021_05_01 18_19_48
34920,2021_05_01 18_20_48
34980,2021_05_01 18_21_48
35040,2021_05_01 18_22_48
35100,2021_05_01 18_23_48
35160,2021_05_01 18_24_48
35220,2021_05_01 18_25_48
35280,2021_05_01 18_26_48
35340,2021_05_01 18_27_48
35400,2021_05_01 18_28_48
35460,2021_05_01 18_29_48
35580,2021_05_01 18_32_46
35640,2021_05_01 18_33_46
35700,2021_05_01 18_34_46
35760,2021_05_01 18_35_46
35820,2021_05_01 18_36_46
35880,2021_05_01 18_37_46
35940,2021_05_01 18_38_46
36000,2021_05_01 18_40_15
36060,2021_05_01 18_41_15
36120,2021_05_01 18_42_15
36180,2021_05_01 18_43_15
36240,2021_05_01 18_44_44
36300,2021_05_01 18_45_44
36360,2021_05_01 18_46_44
36420,2021_05_01 18_47_44
36480,2021_05_01 18_48_44
36540,2021_05_01 18_50_13
36600,2021_05_01 18_51_13
36660,2021_05_01 18_52_13
36720,2021_05_01 18_53_13
36780,2021_05_01 18_54_13
36840,2021_05_01 18_55_13
36900,2021_05_01 18_56_13
36960,2021_05_01 18_57_13
37020,2021_05_01 18_58_13
37080,2021_05_01 18_59_13
37140,2021_05_01 19_00_13
37200,2021_05_01 19_01_13
37260,2021_05_01 19_02_13
37320,2021_05_01 19_03_13
37380,2021_05_01 19_04_13
37440,2021_05_01 19_05_13
37500,2021_05_01 19_06_13
37560,2021_05_01 19_07_13
37620,2021_05_01 19_08_42
37680,2021_05_01 19_09_42
37740,2021_05_01 19_10_42
37800,2021_05_01 19_12_11
37860,2021_05_01 19_13_11
37920,2021_05_01 19_14_11
37980,2021_05_01 19_15_11
38040,2021_05_01 19_16_11
38100,2021_05_01 19_17_11
38160,2021_05_01 19_18_11
38220,2021_05_01 19_19_11
38280,2021_05_01 19_20_11
38340,2021_05_01 19_21_11
38400,2021_05_01 19_22_11
38460,2021_05_01 19_23_11
38520,2021_05_01 19_24_11
38580,2021_05_01 19_25_11
38640,2021_05_01 19_26_11
38700,2021_05_01 19_27_11
38760,2021_05_01 19_28_40
38820,2021_05_01 19_30_39
38880,2021_05_01 19_31_39
38940,2021_05_01 19_32_39
39000,2021_05_01 19_33_39
39060,2021_05_01 19_34_39
39120,2021_05_01 19_36_08
39180,2021_05_01 19_37_08
39240,2021_05_01 19_38_08
39300,2021_05_01 19_39_08
39360,2021_05_01 19_40_08
39420,2021_05_01 19_41_08
39480,2021_05_01 19_42_08
39540,2021_05_01 19_43_08
39600,2021_05_01 19_44_08
39660,2021_05_01 19_45_08
39720,2021_05_01 19_46_08
39780,2021_05_01 19_47_08
39840,2021_05_01 19_48_08
39900,2021_05_01 19_49_08
39960,2021_05_01 19_50_08
40020,2021_05_01 19_51_08
40080,2021_05_01 19_52_08
40140,2021_05_01 19_53_08
40200,2021_05_01 19_54_08
40260,2021_05_01 19_55_08
40320,2021_05_01 19_56_08
40380,2021_05_01 19_57_08
40440,2021_05_01 19_58_08
40500,2021_05_01 19_59_08
40560,2021_05_01 20_00_08
40620,2021_05_01 20_01_08
40680,2021_05_01 20_02_08
40740,2021_05_01 20_03_37
40800,2021_05_01 20_04_37
40860,2021_05_01 20_06_06
40920,2021_05_01 20_07_06
40980,2021_05_01 20_08_35
41040,2021_05_01 20_09_35
41100,2021_05_01 20_10_35
41160,2021_05_01 20_12_04
41220,2021_05_01 20_13_04
41280,2021_05_01 20_14_04
41340,2021_05_01 20_15_04
41400,2021_05_01 20_16_04
41460,2021_05_01 20_17_04
41520,2021_05_01 20_18_04
41640,2021_05_01 20_20_04
41700,2021_05_01 20_21_04
41760,2021_05_01 20_22_04
41820,2021_05_01 20_23_04
41880,2021_05_01 20_24_04
41940,2021_05_01 20_25_04
42000,2021_05_01 20_26_33
42060,2021_05_01 20_28_02
42120,2021_05_01 20_29_02
42180,2021_05_01 20_30_02
42240,2021_05_01 20_31_02
42360,2021_05_01 20_33_02
42420,2021_05_01 20_34_02
42480,2021_05_01 20_35_31
42540,2021_05_01 20_36_31
42600,2021_05_01 20_37_31
42660,2021_05_01 20_38_31
42720,2021_05_01 20_40_00
42840,2021_05_01 20_42_00
42900,2021_05_01 20_43_29
42960,2021_05_01 20_44_29
43020,2021_05_01 20_45_29
43080,2021_05_01 20_46_29
43140,2021_05_01 20_47_29
43200,2021_05_01 20_49_58
43260,2021_05_01 20_50_58
43320,2021_05_01 20_51_58
43380,2021_05_01 20_52_58
43440,2021_05_01 20_53_58
43500,2021_05_01 20_54_58
43560,2021_05_01 20_55_58
43620,2021_05_01 20_56_58
43680,2021_05_01 20_57_58
43740,2021_05_01 20_58_58
43800,2021_05_01 20_59_58
43860,2021_05_01 21_00_58
43920,2021_05_01 21_01_58
44040,2021_05_01 21_03_58
44100,2021_05_01 21_04_58
44220,2021_05_01 21_06_58
44280,2021_05_01 21_07_58
44340,2021_05_01 21_08_58
44400,2021_05_01 21_09_58
44460,2021_05_01 21_10_58
44520,2021_05_01 21_11_58
44580,2021_05_01 21_12_58
44640,2021_05_01 21_13_58
44700,2021_05_01 21_14_58
44760,2021_05_01 21_15_58
44820,2021_05_01 21_16_58
44880,2021_05_01 21_17_58
44940,2021_05_01 21_18_58
45000,2021_05_01 21_19_58
45060,2021_05_01 21_20_58
45120,2021_05_01 21_21_58
45180,2021_05_01 21_23_27
45240,2021_05_01 21_24_27
45300,2021_05_01 21_25_27
45360,2021_05_01 21_26_27
45420,2021_05_01 21_27_27
45480,2021_05_01 21_28_27
45600,2021_05_01 21_30_27
45660,2021_05_01 21_31_27
45720,2021_05_01 21_32_27
45780,2021_05_01 21_33_56
45840,2021_05_01 21_34_56
45900,2021_05_01 21_35_56
45960,2021_05_01 21_36_56
46020,2021_05_01 21_37_56
46080,2021_05_01 21_38_56
46140,2021_05_01 21_39_56
46200,2021_05_01 21_40_56
46260,2021_05_01 21_41_56
46320,2021_05_01 21_42_56
46380,2021_05_01 21_43_56
46440,2021_05_01 21_45_55
46560,2021_05_01 21_48_24
46620,2021_05_01 21_49_53
46680,2021_05_01 21_50_53
46740,2021_05_01 21_51_53
46800,2021_05_01 21_52_53
46860,2021_05_01 21_53_53
46920,2021_05_01 21_54_53
46980,2021_05_01 21_55_53
47040,2021_05_01 21_57_51
47100,2021_05_01 21_59_20
47160,2021_05_01 22_00_20
47280,2021_05_01 22_02_20
47340,2021_05_01 22_03_20
47460,2021_05_01 22_05_49
47520,2021_05_01 22_06_49
47580,2021_05_01 22_07_49
47640,2021_05_01 22_08_49
47700,2021_05_01 22_09_49
47760,2021_05_01 22_10_49
47820,2021_05_01 22_11_49
47880,2021_05_01 22_12_49
47940,2021_05_01 22_13_49
48000,2021_05_01 22_14_49
48060,2021_05_01 22_15_49
48120,2021_05_01 22_16_49
48180,2021_05_01 22_17_49
48240,2021_05_01 22_18_49
48300,2021_05_01 22_19_49
48360,2021_05_01 22_20_49
48420,2021_05_01 22_21_49
48480,2021_05_01 22_22_49
48540,2021_05_01 22_23_49
48600,2021_05_01 22_24_49
48660,2021_05_01 22_25_49
48720,2021_05_01 22_26_49
48780,2021_05_01 22_27_49
48840,2021_05_01 22_28_49
48900,2021_05_01 22_30_18
48960,2021_05_01 22_31_18
49080,2021_05_01 22_33_18
49140,2021_05_01 22_34_18
49200,2021_05_01 22_35_18
49260,2021_05_01 22_36_47
49320,2021_05_01 22_38_45
49380,2021_05_01 22_39_45
49440,2021_05_01 22_40_45
49500,2021_05_01 22_41_45
49560,2021_05_01 22_42_45
49620,2021_05_01 22_43_45
49680,2021_05_01 22_44_45
49740,2021_05_01 22_45_45
49860,2021_05_01 22_47_45
49920,2021_05_01 22_48_45
50040,2021_05_01 22_50_45
50100,2021_05_01 22_51_45
50160,2021_05_01 22_52_45
50220,2021_05_01 22_54_14
50280,2021_05_01 22_55_14
50340,2021_05_01 22_56_14
50400,2021_05_01 22_57_14
50460,2021_05_01 22_58_14
50520,2021_05_01 22_59_14
50580,2021_05_01 23_00_14
50640,2021_05_01 23_01_14
50700,2021_05_01 23_02_14
50760,2021_05_01 23_03_14
50880,2021_05_01 23_05_14
50940,2021_05_01 23_06_14
51000,2021_05_01 23_07_14
51060,2021_05_01 23_08_14
51120,2021_05_01 23_09_14
51180,2021_05_01 23_10_14
51240,2021_05_01 23_11_43
51300,2021_05_01 23_12_43
51360,2021_05_01 23_13_43
51420,2021_05_01 23_14_43
51480,2021_05_01 23_15_43
51540,2021_05_01 23_16_43
51600,2021_05_01 23_17_43
51660,2021_05_01 23_18_43
51720,2021_05_01 23_19_43
51780,2021_05_01 23_20_43
51840,2021_05_01 23_22_12
51900,2021_05_01 23_23_12
51960,2021_05_01 23_24_12
52080,2021_05_01 23_27_11
52140,2021_05_01 23_28_11
52260,2021_05_01 23_30_11
52320,2021_05_01 23_31_11
52380,2021_05_01 23_32_11
52440,2021_05_01 23_33_11
52500,2021_05_01 23_34_11
52560,2021_05_01 23_35_11
52620,2021_05_01 23_36_11
52680,2021_05_01 23_37_11
52740,2021_05_01 23_38_11
52800,2021_05_01 23_39_11
52860,2021_05_01 23_40_40
52920,2021_05_01 23_42_09
52980,2021_05_01 23_43_09
53040,2021_05_01 23_44_09
53100,2021_05_01 23_45_09
53160,2021_05_01 23_46_38
53220,2021_05_01 23_47_38
53280,2021_05_01 23_48_38
53340,2021_05_01 23_49_38
53400,2021_05_01 23_50_38
53460,2021_05_01 23_51_38
53520,2021_05_01 23_52_38
53580,2021_05_01 23_53_38
53640,2021_05_01 23_54_38
53700,2021_05_01 23_55_38
53760,2021_05_01 23_56_38
53820,2021_05_01 23_57_38
53880,2021_05_01 23_58_38
53940,2021_05_01 23_59_38
54000,2021_05_02 00_00_38
54060,2021_05_02 00_01_38
54120,2021_05_02 00_02_38
54180,2021_05_02 00_03_38
54240,2021_05_02 00_04_38
54300,2021_05_02 00_05_38
54360,2021_05_02 00_06_38
54420,2021_05_02 00_07_38
54480,2021_05_02 00_08_38
54540,2021_05_02 00_09_38
54600,2021_05_02 00_10_38
54660,2021_05_02 00_11_38
54720,2021_05_02 00_12_38
54780,2021_05_02 00_13_38
54840,2021_05_02 00_14_38
54900,2021_05_02 00_16_07
54960,2021_05_02 00_17_07
55020,2021_05_02 00_18_07
